web_scraper_order,web_scraper_start_url,city,cost_of_living_index,rank,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
"1770902482-60","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Essen, Germany","70.8","60","18.1","47.3","66.8","69.3","141.0"
"1770902482-61","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Southampton, United Kingdom","70.4","61","34.6","54.4","64.0","82.8","119.1"
"1770902482-62","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bordeaux, France","70.1","62","23.2","49.2","75.4","71.3","126.2"
"1770902482-63","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Dortmund, Germany","70.0","63","19.9","47.7","67.2","65.6","148.3"
"1770902482-64","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Manchester, United Kingdom","70.0","64","40.1","56.7","67.8","75.3","114.1"
"1770902482-65","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Berlin, Germany","70.0","65","36.2","54.9","63.0","68.1","126.1"
"1770902482-66","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Malmo, Sweden","69.8","66","26.4","50.4","72.2","72.8","129.5"
"1770902482-67","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Kiel, Germany","69.7","67","20.2","47.6","70.0","68.9","131.2"
"1770902482-68","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Florence, Italy","69.5","68","31.0","52.3","73.1","75.3","75.9"
"1770902482-69","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bonn, Germany","69.4","69","28.5","51.1","69.4","63.7","151.8"
"1770902482-70","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Brescia, Italy","69.3","70","22.7","48.5","71.3","77.3","80.7"
"1770902482-71","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Toulouse, France","69.1","71","21.1","47.7","76.4","67.5","119.0"
"1770902482-72","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Nuremberg, Germany","69.0","72","23.5","48.7","64.4","70.4","147.5"
"1770902482-73","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Dresden, Germany","68.8","73","19.8","46.9","65.3","71.1","135.1"
"1770902482-74","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Karlsruhe, Germany","68.7","74","27.3","50.2","67.8","65.3","127.3"
