Id,Label,City,Country,Rank,Rent Index,Cost of Living & Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Estimated Beer Price (€)
Moscow,Moscow,Moscow, Russia,164,34.1,41.5,40.7,47.3,81.4,2.0
Vladivostok,Vladivostok,Vladivostok, Russia,177,16.7,31.9,40.4,43.4,53.6,2.0
Yekaterinburg,Yekaterinburg,Yekaterinburg, Russia,183,16.2,29.8,37.8,42.5,58.5,2.0
Saint Petersburg,Saint Petersburg,Saint Petersburg, Russia,186,18.9,30.8,37.4,37.2,74.5,2.0
Tyumen,Tyumen,Tyumen, Russia,189,14.5,28.1,37.9,41.4,57.5,2.0
Kazan,Kazan,Kazan, Russia,194,13.2,26.3,35.5,35.2,63.1,2.0
Novosibirsk,Novosibirsk,Novosibirsk, Russia,195,12.3,25.9,35.6,33.3,60.8,2.0
Kaliningrad,Kaliningrad,Kaliningrad, Russia,196,11.2,25.2,36.6,34.1,61.1,2.0
Ufa,Ufa,Ufa, Russia,198,10.4,24.7,35.0,38.3,61.0,2.0
Samara,Samara,Samara, Russia,199,11.1,25.0,32.0,37.4,54.0,2.0
Krasnodar,Krasnodar,Krasnodar, Russia,200,12.2,25.5,32.5,35.7,61.8,2.0
Nizhny Novgorod,Nizhny Novgorod,Nizhny Novgorod, Russia,201,13.0,25.8,33.7,38.7,58.7,2.0
Tomsk,Tomsk,Tomsk, Russia,202,10.7,24.6,36.6,28.7,57.5,2.0
Rostov-on-Don (Rostov-na-donu),Rostov-on-Don (Rostov-na-donu),Rostov-on-Don (Rostov-na-donu), Russia,203,11.3,24.8,33.5,37.6,65.9,2.0
Chelyabinsk,Chelyabinsk,Chelyabinsk, Russia,204,10.4,24.3,34.7,32.4,51.3,2.0
Perm,Perm,Perm, Russia,206,11.2,23.4,34.2,29.5,64.7,2.0
Belgrade,Belgrade,Belgrade, Serbia,163,21.5,36.0,42.0,52.3,65.0,2.5
Novi Sad,Novi Sad,Novi Sad, Serbia,173,14.3,31.3,41.3,45.3,62.9,2.5
Nis,Nis,Nis, Serbia,193,8.7,24.8,35.4,34.9,67.3,2.5
Bratislava,Bratislava,Bratislava, Slovakia,135,22.9,40.4,52.9,49.9,82.1,3.0
Kosice,Kosice,Kosice, Slovakia,145,23.4,39.3,51.2,48.7,75.5,3.0
Ljubljana,Ljubljana,Ljubljana, Slovenia,129,27.2,44.0,52.8,59.0,85.0,3.5
Madrid,Madrid,Madrid, Spain,118,36.2,49.4,56.1,63.4,104.1,4.0
Barcelona,Barcelona,Barcelona, Spain,123,36.0,48.9,56.0,63.8,95.1,4.0
Palma de Mallorca,Palma de Mallorca,Palma de Mallorca, Spain,125,32.0,47.0,52.1,64.8,85.0,4.0
Bilbao,Bilbao,Bilbao, Spain,134,26.5,42.0,50.6,62.1,106.3,4.0
Oviedo,Oviedo,Oviedo, Spain,139,17.7,37.6,53.3,58.4,111.4,4.0
Malaga,Malaga,Malaga, Spain,147,30.6,42.1,49.4,58.3,84.0,4.0
Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife, Spain,148,25.2,39.6,52.6,54.7,93.9,4.0
Alicante,Alicante,Alicante, Spain,150,22.2,38.1,51.8,53.7,105.0,4.0
Valencia,Valencia,Valencia, Spain,152,28.6,40.8,46.2,58.9,111.6,4.0
Seville (Sevilla),Seville (Sevilla),Seville (Sevilla), Spain,154,21.8,37.4,52.3,50.0,98.8,4.0
Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,Las Palmas de Gran Canaria, Spain,160,22.8,37.5,53.6,47.4,93.8,4.0
Granada,Granada,Granada, Spain,161,18.6,35.4,47.1,49.9,108.1,4.0
Stockholm,Stockholm,Stockholm, Sweden,19,36.1,59.7,72.8,82.0,116.9,7.5
Malmo,Malmo,Malmo, Sweden,66,26.4,50.4,72.2,72.8,129.5,7.5
Gothenburg,Gothenburg,Gothenburg, Sweden,75,25.4,49.4,68.0,76.5,154.7,7.5
Uppsala,Uppsala,Uppsala, Sweden,79,22.6,48.1,70.6,70.4,128.4,7.5
Lund,Lund,Lund, Sweden,103,23.9,47.0,68.2,69.7,134.1,7.5
Zurich,Zurich,Zurich, Switzerland,1,70.6,97.1,115.4,121.0,164.4,9.0
Geneva,Geneva,Geneva, Switzerland,2,65.1,93.6,114.3,121.8,158.5,9.0
Basel,Basel,Basel, Switzerland,3,49.6,84.4,110.4,114.9,183.7,9.0
Lausanne,Lausanne,Lausanne, Switzerland,4,55.0,86.3,108.9,116.2,163.7,9.0
Lugano,Lugano,Lugano, Switzerland,5,47.0,81.9,107.3,125.3,153.6,9.0
Bern,Bern,Bern, Switzerland,6,46.8,81.8,107.3,110.2,174.4,9.0
Kiev (Kyiv),Kiev (Kyiv),Kiev (Kyiv), Ukraine,208,13.7,23.8,32.2,31.0,58.7,1.5
Dnipro,Dnipro,Dnipro, Ukraine,209,10.3,21.8,28.7,36.6,44.3,1.5
Odessa (Odesa),Odessa (Odesa),Odessa (Odesa), Ukraine,210,7.0,19.6,29.5,28.5,46.2,1.5
Lviv,Lviv,Lviv, Ukraine,211,11.0,21.2,29.6,27.4,53.9,1.5
Kharkiv,Kharkiv,Kharkiv, Ukraine,213,5.5,17.3,27.3,24.8,51.7,1.5
London,London,London, United Kingdom,9,70.1,79.7,68.9,89.7,117.5,6.8
Oxford,Oxford,Oxford, United Kingdom,25,47.9,63.6,68.0,88.8,113.5,6.8
Guildford,Guildford,Guildford, United Kingdom,27,42.4,60.7,71.5,76.7,120.0,6.8
Brighton,Brighton,Brighton, United Kingdom,30,42.9,60.4,67.7,79.9,111.1,6.8
Cambridge,Cambridge,Cambridge, United Kingdom,34,45.5,61.3,66.4,82.8,124.0,6.8
Edinburgh,Edinburgh,Edinburgh, United Kingdom,43,37.9,57.3,65.6,84.2,118.6,6.8
Reading,Reading,Reading, United Kingdom,55,40.4,57.5,62.5,83.7,124.1,6.8
Bristol,Bristol,Bristol, United Kingdom,58,42.2,58.2,65.8,79.9,113.8,6.8
Southampton,Southampton,Southampton, United Kingdom,61,34.6,54.4,64.0,82.8,119.1,6.8
Manchester,Manchester,Manchester, United Kingdom,64,40.1,56.7,67.8,75.3,114.1,6.8
Birmingham,Birmingham,Birmingham, United Kingdom,77,30.8,51.7,64.7,69.7,124.5,6.8
Leeds,Leeds,Leeds, United Kingdom,80,31.1,51.8,66.7,71.2,116.4,6.8
Glasgow,Glasgow,Glasgow, United Kingdom,85,33.8,52.7,64.3,72.2,124.7,6.8
Newcastle upon Tyne,Newcastle upon Tyne,Newcastle upon Tyne, United Kingdom,86,27.9,49.9,62.3,77.4,148.3,6.8
Milton Keynes,Milton Keynes,Milton Keynes, United Kingdom,88,35.6,53.2,59.4,70.9,123.4,6.8
York,York,York, United Kingdom,90,32.7,51.8,61.8,81.6,124.3,6.8
Cardiff,Cardiff,Cardiff, United Kingdom,91,32.1,51.4,66.2,72.6,119.4,6.8
Bournemouth,Bournemouth,Bournemouth, United Kingdom,92,36.2,53.3,58.0,73.6,116.4,6.8
Liverpool,Liverpool,Liverpool, United Kingdom,98,27.6,48.9,60.8,75.6,127.2,6.8
Belfast,Belfast,Belfast, United Kingdom,99,26.7,48.4,67.5,74.6,113.4,6.8
Nottingham,Nottingham,Nottingham, United Kingdom,104,26.3,47.9,64.8,66.4,129.2,6.8
Coventry,Coventry,Coventry, United Kingdom,105,30.6,49.5,66.1,68.9,133.9,6.8
Sheffield,Sheffield,Sheffield, United Kingdom,111,26.3,46.7,56.3,68.4,132.7,6.8
