Source,Target,Weight
Dnipro,Stara Zagora,9.90099009901011
Dnipro,Lviv,1.663893510815304
Dnipro,Minsk,0.8326394671107417
Odessa (Odesa),Pristina,9.90099009901011
Odessa (Odesa),Lviv,0.6246096189881333
Odessa (Odesa),Dnipro,0.454338936846888
Lviv,Dnipro,1.663893510815304
Lviv,Stara Zagora,1.4265335235378045
Lviv,Pristina,0.6662225183211193
Kharkiv,Odessa (Odesa),0.43459365493263785
Kharkiv,Pristina,0.41649312786339054
Kharkiv,Lviv,0.2563445270443477
London,Bern,0.4759638267491684
London,Lugano,0.4543389368468872
London,Reykjavik,0.3844675124951929
Oxford,Haarlem,9.900990099009762
Oxford,Galway,1.663893510815304
Oxford,Paris,1.4265335235377974
Guildford,Brighton,3.3222591362125775
Guildford,Bergen,2.4937655860348773
Guildford,Trondheim,2.4937655860348773
Brighton,Bergen,9.900990099009762
Brighton,Trondheim,9.900990099009762
Brighton,Cork,4.975124378109558
Cambridge,Guildford,1.6638935108153237
Cambridge,Brighton,1.1098779134295245
Cambridge,Bergen,0.9990009990009991
Edinburgh,Frankfurt,4.975124378109558
Edinburgh,Reading,4.975124378109382
Edinburgh,Manchester,1.6638935108153237
Reading,Edinburgh,4.975124378109382
Reading,Frankfurt,2.4937655860349217
Reading,Bristol,1.4265335235377974
Bristol,Aarhus,3.322259136212656
Bristol,Delft,1.996007984031936
Bristol,Milan,1.4265335235378118
Southampton,Helsinki,9.900990099009762
Southampton,Hamburg,4.975124378109558
Southampton,Vienna,4.975124378109558
Manchester,Frankfurt,2.4937655860349217
Manchester,Edinburgh,1.6638935108153237
Manchester,Heidelberg,1.4265335235377974
Birmingham,Leeds,9.900990099010459
Birmingham,York,9.900990099010459
Birmingham,Strasbourg,4.975124378109382
Leeds,York,1000.0
Leeds,Birmingham,9.900990099010459
Leeds,Strasbourg,3.322259136212656
Glasgow,Sliema,9.900990099010459
Glasgow,Cologne,4.975124378109382
Glasgow,Darmstadt,4.975124378109382
Newcastle upon Tyne,Bologna,1000.0
Newcastle upon Tyne,Karlsruhe,3.3222591362125775
Newcastle upon Tyne,Lyon,3.3222591362125775
Milton Keynes,Odense,1000.0
Milton Keynes,Bournemouth,9.900990099010459
Milton Keynes,Stuttgart,4.975124378109382
York,Leeds,1000.0
York,Birmingham,9.900990099010459
York,Strasbourg,3.322259136212656
Cardiff,Strasbourg,9.900990099009762
Cardiff,Wiesbaden,9.900990099009762
Cardiff,Bonn,3.322259136212656
Bournemouth,Milton Keynes,9.900990099010459
Bournemouth,Odense,9.900990099010459
Bournemouth,Stuttgart,3.322259136212656
Liverpool,Barcelona,1000.0
Liverpool,Valletta,1000.0
Liverpool,Nuremberg,4.975124378109558
Belfast,Brescia,9.900990099009762
Belfast,Graz,9.900990099009762
Belfast,Uppsala,3.322259136212656
Nottingham,Bremen,9.900990099009762
Nottingham,Leuven,9.900990099009762
Nottingham,Mannheim,9.900990099009762
Coventry,Gothenburg,9.900990099009762
Coventry,Madrid,9.900990099009762
Coventry,Bordeaux,3.322259136212656
Sheffield,Leipzig,1000.0
Sheffield,Lille,9.900990099010459
Sheffield,Dresden,4.975124378109558
