City,Country,Rank,Rent Index,Cost of Living & Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Estimated Beer Price (€),Beer Affordability Score
Treviso, Italy,95,23.4,47.3,63.6,76,77.8,5.5,14.15
Lisbon, Portugal,136,38.6,47.2,50.1,53.1,60.9,1.5,20.3
Turku, Finland,78,20.5,47.1,66.6,81.3,125.1,3,15.64
Palma de Mallorca, Spain,125,32,47,52.1,64.8,85,5.5,21.25
Lund, Sweden,103,23.9,47,68.2,69.7,134.1,5.5,17.88
Dresden, Germany,73,19.8,46.9,65.3,71.1,135.1,5.5,30.02
Lille, France,96,22.4,46.8,73.9,69.6,133.9,5.5,19.13
Leipzig, Germany,89,21.1,46.7,66.3,62.6,130.1,5.5,28.91
Sheffield, United Kingdom,111,26.3,46.7,56.3,68.4,132.7,5.5,19.51
Montpellier, France,102,21.9,46.1,75.2,61.5,118.7,5.5,16.96
Trento, Italy,108,23.8,46.1,59.7,72.5,85.7,5.5,15.58
Padova, Italy,107,23.6,46.1,63.6,67.5,85.6,5.5,15.56
Aachen, Germany,94,20.2,46,64.4,61.6,140.2,2,31.16
Villach, Austria,100,20.1,45.4,62.4,66.7,119.3,9.5,23.86
Grenoble, France,101,19.7,45.2,70.1,62.4,127,9.5,18.14
Tallinn, Estonia,106,20,44.8,58.8,70.8,88,9.5,19.56
Cagliari, Italy,112,21.2,44.3,65.8,72.3,80.5,9.5,14.64
Ljubljana, Slovenia,129,27.2,44,52.8,59,85,3.5,24.29
Split, Croatia,126,25.7,43.9,53.1,66.3,74.2,3.5,21.2
Naples, Italy,124,25.1,43.9,59.0,61.4,78.6,3.5,14.29
Genoa, Italy,114,20,43.4,65.8,65.9,91.6,3.5,16.65
Trieste, Italy,115,19.8,43,62.3,63.7,84.7,3.5,15.4
Bergamo, Italy,116,20,42.8,61.8,65.5,103.4,3.5,18.8
Warsaw, Poland,140,28.5,42.3,46.4,52.5,98.9,3.5,28.26
Malaga, Spain,147,30.6,42.1,49.4,58.3,84,3.5,21
Bilbao, Spain,134,26.5,42,50.6,62.1,106.3,3,26.58
Turin, Italy,117,19.5,42,62.1,62,95.3,3,17.33
Moscow, Russia,164,34.1,41.5,40.7,47.3,81.4,3,40.7
Pisa, Italy,127,20.2,41.2,61.6,57.4,97.3,3,17.69
Valencia, Spain,152,28.6,40.8,46.2,58.9,111.6,2.5,27.9
Reggio Nell'emilia, Italy,120,16.9,40.6,60.3,65.3,99.2,2.5,18.04
Porto, Portugal,159,29.6,40.5,46.5,47,68.9,2.5,22.97
Bari, Italy,131,20.8,40.5,57.0,58.1,94.7,2.5,17.22
Bratislava, Slovakia,135,22.9,40.4,52.9,49.9,82.1,2.5,27.37
Athens, Greece,128,18.2,40.2,55.1,62.9,66.1,2.5,14.69
Remagen, Germany,122,15.8,39.9,56.1,49.7,80.7,2.5,17.93
Brno, Czech Republic,142,22.6,39.6,50.7,43.6,93.4,2.5,37.36
Santa Cruz de Tenerife, Spain,148,25.2,39.6,52.6,54.7,93.9,2.5,23.48
